79,14,11379_at_x14
79,15,11379_at_x13
79,16,11379_at_x12
79,17,11379_at_x11
79,18,11379_at_x10
79,19,11379_at_x09
79,20,11379_at_x07
79,21,11379_at_x06
79,22,11379_at_x05
79,23,11379_at_x04
79,24,11379_at_x02
79,25,11379_at_x01
79,26,11379_at_x00
78,27,11380_at_x00
78,28,11380_at_x01
78,29,11380_at_x02
78,30,11380_at_x03
78,31,11380_at_x04
78,32,11380_at_x05
78,33,11380_at_x06
78,34,11380_at_x10
78,35,11380_at_x11
78,36,11380_at_x12
78,37,11380_at_x15
77,38,11381_at_x14
77,39,11381_at_x13
77,40,11381_at_x12
77,41,11381_at_x11
77,42,11381_at_x08
77,43,11381_at_x07
77,44,11381_at_x06
77,45,11381_at_x05
77,46,11381_at_x04
77,47,11381_at_x03
77,48,11381_at_x02
75,54,11382_at_x02
69,67,11389_at_x04
69,68,11389_at_x09
66,69,11392_at_x03
64,70,11393_at_x00
64,71,11393_at_x06
64,72,11393_at_x10
64,73,11393_at_x12
64,74,11393_at_x13
61,75,11358_at_x01
59,76,11360_at_x14
59,77,11360_at_x11
57,78,11361_at_x10
57,79,11361_at_x09
57,80,11361_at_x03
45,81,11372_at_x08
32,82,3157_at_x05
31,83,11339_at_x14
11,84,11310_at_x01
10,85,11311_at_x03
10,86,11311_at_x00
9,87,11312_at_x00
5,93,11318_at_x06
6,93,11318_at_x06
5,94,11318_at_x07
6,94,11318_at_x07
81,95,11325_at_x05
93,97,11289_at_x04
93,98,11289_at_x14
95,100,11291_at_x12
97,101,11293_at_x04
97,102,11293_at_x05
97,103,11294_g_at_x00
97,104,11294_g_at_x01
97,105,11294_g_at_x03
97,106,11294_g_at_x08
97,107,11294_g_at_x09
97,108,11294_g_at_x11
99,109,11297_at_x12
100,110,11298_at_x10
104,157,11302_at_x00
104,158,11302_at_x01
115,159,11264_f_at_x09
115,160,11264_f_at_x11
230,168,7481_at_x13
213,173,7452_at_x15
204,174,7462_at_x04
203,177,2449_s_at_x03
197,178,7424_at_x08
164,182,7410_at_x11
164,183,7410_at_x09
164,184,7410_at_x05
162,185,7412_at_x14
157,187,7417_at_x03
157,188,7417_at_x02
153,189,7374_at_x08
152,190,7375_at_x15
152,191,7375_at_x14
152,192,7375_at_x08
144,194,7384_at_x03
141,195,7387_at_x06
140,196,7388_at_x02
140,197,7388_at_x03
139,198,7389_at_x15
139,199,7389_at_x02
138,200,2453_at_x03
138,201,2455_at_x06
135,204,7393_at_x15
135,205,7393_at_x14
131,206,7397_at_x07
130,207,7352_at_x05
128,208,7354_at_x10
128,209,7354_at_x06
127,210,7355_at_x02
125,213,2468_s_at_x00
125,214,7357_at_x08
125,215,7357_at_x09
244,216,7365_at_x03
244,217,7365_at_x04
247,218,7367_at_x15
247,219,7367_at_x13
247,220,7367_at_x10
271,222,7346_at_x10
276,223,7351_at_x00
284,224,7313_at_x09
293,229,7322_at_x11
297,230,7325_at_x10
302,231,7284_at_x12
304,232,7287_at_x11
305,232,7287_at_x11
306,233,7288_at_x00
308,234,7290_at_x01
310,236,7292_at_x13
310,237,7292_at_x05
312,238,7294_at_x13
312,239,7294_at_x14
312,240,7294_at_x15
313,241,7295_at_x14
316,242,7298_at_x05
318,243,7300_at_x14
318,244,7300_at_x03
322,245,7305_at_x01
323,246,7260_at_x08
329,249,7264_at_x08
329,250,7264_at_x03
330,251,7265_at_x05
334,252,7271_at_x04
336,253,7273_at_x15
336,254,7273_at_x14
336,255,7273_at_x13
336,256,7273_at_x12
336,257,7273_at_x11
336,258,7273_at_x07
365,263,7255_at_x06
365,264,7255_at_x07
367,265,7257_at_x09
369,266,7215_at_x08
370,266,7215_at_x08
372,267,7217_at_x04
378,268,7222_at_x09
379,269,7223_at_x07
379,270,7223_at_x06
383,271,2472_s_at_x03
383,272,2473_s_at_x00
383,273,2473_s_at_x02
383,274,2474_s_at_x05
384,275,7228_at_x11
385,276,7229_at_x06
386,277,7230_at_x06
386,278,7230_at_x14
387,279,7231_at_x15
387,280,2479_at_x01
