ID,ORF_MA,ORF,GENE
172,YDR105C,YDR105C,TMS1
173,YKL109W,YKL109W,HAP4
174,YDR229W,YDR229W,IVY1
175,YMR315W,YMR315W,YMR315W
176,YGR163W,YGR163W,GTR2
177,YNR003C,YNR003C,RPC34
178,YDR213W,YDR213W,UPC2
179,YLL012W,YLL012W,YEH1
180,YDR394W,YDR394W,RPT3
181,YNL187W,YNL187W,SWT21
183,YOR211C,YOR211C,MGM1
184,YDR388W,YDR388W,RVS167
185,YMR274C,YMR274C,RCE1
186,YER114C,YER114C,BOI2
187,YOR230W,YOR230W,WTM1
188,YIL134W,YIL134W,FLX1
189,YOR373W,YOR373W,NUD1
190,YGR052W,YGR052W,FMP48
191,YNL126W,YNL126W,SPC98
192,YHR146W,YHR146W,CRP1
193,YLR277C,YLR277C,YSH1
194,YPR114W,YPR114W,YPR114W
195,YJL087C,YJL087C,TRL1
196,YOL090W,YOL090W,MSH2
197,YGL001C,YGL001C,ERG26
198,YIL120W,YIL120W,QDR1
199,YLR386W,YLR386W,VAC14
200,YBL035C,YBL035C,POL12
201,YJR062C,YJR062C,NTA1
202,YOR298W,YOR298W,MUM3
203,YGR150C,YGR150C,CCM1
204,YJL176C,YJL176C,SWI3
205,YMR016C,YMR016C,SOK2
206,YBR084W,YBR084W,MIS1
207,YLR085C,YLR085C,ARP6
208,YBL104C,YBL104C,SEA4
209,YHR003C,YHR003C,TCD1
210,YKL166C,YKL166C,TPK3
211,YMR165C,YMR165C,PAH1
212,YDR297W,YDR297W,SUR2
213,YLR276C,YLR276C,DBP9
214,YBR234C,YBR234C,ARC40
215,YHR132C,YHR132C,ECM14
216,YDR052C,YDR052C,DBF4
217,YHR103W,YHR103W,SBE22
218,YMR062C,YMR062C,ARG7
219,YPL206C,YPL206C,PGC1
220,YDR515W,YDR515W,SLF1
221,YJL187C,YJL187C,SWE1
222,YDR285W,YDR285W,ZIP1
223,YHR190W,YHR190W,ERG9
224,YMR167W,YMR167W,MLH1
225,YAL020C,YAL020C,ATS1
226,YER017C,YER017C,AFG3
227,YJR121W,YJR121W,ATP2
228,YDR331W,YDR331W,GPI8
229,YKL143W,YKL143W,LTV1
230,YMR297W,YMR297W,PRC1
231,YBR042C,YBR042C,CST26
232,YFL003C,YFL003C,MSH4
233,YLR088W,YLR088W,GAA1
234,YDR416W,YDR416W,SYF1
235,YLR188W,YLR188W,MDL1
236,YOL030W,YOL030W,GAS5
237,YBR166C,YBR166C,TYR1
238,YGR130C,YGR130C,YGR130C
239,YLR181C,YLR181C,VTA1
240,YMR096W,YMR096W,SNZ1
241,YNL246W,YNL246W,VPS75
242,YNL003C,YNL003C,PET8
243,YMR069W,YMR069W,NAT4
244,YGL020C,YGL020C,GET1
245,YKR060W,YKR060W,UTP30
246,YDL129W,YDL129W,YDL129W
247,YBR147W,YBR147W,RTC2
248,YOR385W,YOR385W,YOR385W
249,YLR243W,YLR243W,GPN3
250,YDR384C,YDR384C,ATO3
251,YDR361C,YDR361C,BCP1
252,YHR046C,YHR046C,INM1
253,YCR010C,YCR010C,ADY2
254,YHR192W,YHR192W,LNP1
255,YAL034W-A,YAL034W-A,MTW1
256,YNL148C,YNL148C,ALF1
257,YBR257W,YBR257W,POP4
258,YML025C,YML025C,YML6
259,YEL005C,YEL005C,VAB2
260,YNL032W,YNL032W,SIW14
261,YMR178W,YMR178W,YMR178W
262,YGR132C,YGR132C,PHB1
263,YHR090C,YHR090C,YNG2
264,YPR016C,YPR016C,TIF6
265,YFL038C,YFL038C,YPT1
267,YEL072W,YEL072W,RMD6
268,YDL217C,YDL217C,TIM22
269,YGR081C,YGR081C,SLX9
270,YHR147C,YHR147C,MRPL6
271,YLR145W,YLR145W,RMP1
272,YFR043C,YFR043C,IRC6
273,YIR024C,YIR024C,INA22
274,YAR028W,YAR028W,YAR028W
275,YHR071W,YHR071W,PCL5
276,YMR090W,YMR090W,YMR090W
277,YOR064C,YOR064C,YNG1
278,YKR100C,YKR100C,SKG1
279,YDR246W,YDR246W,TRS23
280,YDR275W,YDR275W,BSC2
281,YNL036W,YNL036W,NCE103
282,YIR030C,YIR030C,DCG1
284,YNL107W,YNL107W,YAF9
285,YDL166C,YDL166C,FAP7
286,YOL110W,YOL110W,SHR5
287,YDL169C,YDL169C,UGX2
288,YHR081W,YHR081W,LRP1
290,YIR017C,YIR017C,MET28
291,YML098W,YML098W,TAF13
292,YDR178W,YDR178W,SDH4
293,YOR253W,YOR253W,NAT5
294,YGL183C,YGL183C,MND1
295,YHR093W,YHR093W,AHT1
296,YML022W,YML022W,APT1
298,YGR273C,YGR273C,YGR273C
299,YDR441C,YDR441C,APT2
300,YLL059C,YLL059C,YLL059C
301,YMR042W,YMR042W,ARG80
302,YHR100C,YHR100C,GEP4
303,YER112W,YER112W,LSM4
304,YGR133W,YGR133W,PEX4
305,YJL104W,YJL104W,PAM16
306,YDR512C,YDR512C,EMI1
307,YFR054C,YFR054C,YFR054C
308,YOR148C,YOR148C,SPP2
309,YJL160C,YJL160C,PIR5
310,YGR131W,YGR131W,FHN1
311,YML055W,YML055W,SPC2
312,YER084W,YER084W,YER084W
313,YKL049C,YKL049C,CSE4
314,YOL109W,YOL109W,ZEO1
315,YBL018C,YBL018C,POP8
316,YBR013C,YBR013C,YBR013C
317,YDR015C,YDR015C,YDR015C
318,YKL031W,YKL031W,YKL031W
319,YMR057C,YMR057C,YMR057C
321,YGL015C,YGL015C,YGL015C
322,YML122C,YML122C,YML122C
323,YER057C,YER057C,HMF1
324,YGR045C,YGR045C,YGR045C
325,YKL115C,YKL115C,YKL115C
326,YDR045C,YDR045C,RPC11
327,YLR255C,YLR255C,YLR255C
328,YBL044W,YBL044W,YBL044W
329,YGL121C,YGL121C,GPG1
330,YEL033W,YEL033W,MTC7
331,YFL034C-A,YFL034C-A,RPL22b
332,YLR297W,YLR297W,YLR297W
333,YDR157W,YDR157W,YDR157W
334,YDL242W,YDL242W,YDL242W
335,YHR162W,YHR162W,MPC2
336,YMR273C,YMR273C,ZDS1
337,YML010W,YML010W,SPT5
338,YOR168W,YOR168W,GLN4
339,YGR187C,YGR187C,HGH1
340,YBL007C,YBL007C,SLA1
341,YFR055W,YFR055W,IRC7
342,YDR466W,YDR466W,PKH3
343,YDR444W,YDR444W,YDR444W
344,YIL159W,YIL159W,BNR1
345,YNL169C,YNL169C,PSD1
346,YDL220C,YDL220C,CDC13
347,YFL023W,YFL023W,BUD27
348,YBL076C,YBL076C,ILS1
349,YGR177C,YGR177C,ATF2
350,YOR365C,YOR365C,YOR365C
351,YJL141C,YJL141C,YAK1
352,YLR425W,YLR425W,TUS1
353,YDR145W,YDR145W,TAF12
354,YMR172W,YMR172W,HOT1
355,YFL042C,YFL042C,LAM5
356,YIL151C,YIL151C,ESL1
357,YCR048W,YCR048W,ARE1
358,YOR378W,YOR378W,AMF1
359,YLL019C,YLL019C,KNS1
360,YMR306W,YMR306W,FKS3
361,YER190W,YER190W,YRF1-2
362,YFL066C,YFL066C,YFL066C
363,YCL073C,YCL073C,GEX1
364,YFL002W-A,YFL002W-A,YFL002W-A
365,YBR093C,YBR093C,PHO5
366,YDL244W,YDL244W,THI13
367,YCL020W,YCL020W,YCL020W
368,YFR024C-A,YFR024C-A,LSB3
369,YDR012W,YDR012W,RPL4b
370,YCL069W,YCL069W,VBA3
371,YMR323W,YMR323W,ERR3
373,YPR080W,YPR080W,TEF1
374,YAL005C,YAL005C,SSA1
375,YLR432W,YLR432W,IMD3
376,YNL336W,YNL336W,COS1
377,YPL281C,YPL281C,ERR2
378,YBL113C,YBL113C,YBL113C
379,YNL209W,YNL209W,SSB2
380,YNL018C,YNL018C,YNL018C
382,YGR295C,YGR295C,COS6
383,YFL058W,YFL058W,THI5
384,YGR034W,YGR034W,RPL26b
385,YLR162W-,Unknown,Unknown
386,YJR037W,YJR037W,YJR037W
387,YMR325W,YMR325W,PAU19
388,YGL217C,YGL217C,YGL217C
389,YER131W,YER131W,RPS26b
390,YKR040C,YKR040C,YKR040C
391,YKL223W,YKL223W,YKL223W
392,YDR426C,YDR426C,YDR426C
393,YHL045W,YHL045W,YHL045W
394,YPR177C,YPR177C,YPR177C
395,YDR542W,YDR542W,PAU10
396,YLR367W,YLR367W,RPS22b
397,YKL053W,YKL053W,YKL053W
398,YOR169C,YOR169C,YOR169C
399,YMR153C-A,YMR153C-A,YMR153C-A
400,YCL065W,YCL065W,YCL065W
401,YLR217W,YLR217W,YLR217W
402,YPL136W,YPL136W,YPL136W
403,YDR442W,YDR442W,YDR442W
404,YLL047W,Unknown,Unknown
405,YMR075C-A,YMR075C-A,YMR075C-A
406,YGL109W,YGL109W,YGL109W
441,YMR317W,YMR317W,YMR317W
442,YNL192W,YNL192W,CHS1
443,YPR117W,YPR117W,YPR117W
444,YNL102W,YNL102W,POL1
445,YNR016C,YNR016C,ACC1
447,YMR229C,YMR229C,RRP5
448,YDR038C,YDR038C,ENA5
449,YFR016C,YFR016C,YFR016C
450,YGL131C,YGL131C,SNT2
452,YHR119W,YHR119W,SET1
453,YLR278C,YLR278C,YLR278C
454,YER111C,YER111C,SWI4
455,YOL081W,YOL081W,IRA2
456,YOR124C,YOR124C,UBP2
457,YML103C,YML103C,NUP188
458,YBL101W-B,YBL101W-B,YBL101W-B
459,YAL001C,YAL001C,TFC3
460,YBR140C,YBR140C,IRA1
461,YIL026C,YIL026C,IRR1
462,YGR218W,YGR218W,CRM1
463,YNL087W,YNL087W,TCB2
464,YJR027W,YJR027W,YJR027W
465,YOR128C,YOR128C,ADE2
466,YHR131C,YHR131C,YHR131C
467,YGL234W,YGL234W,"ADE5,7"
469,YKL019W,YKL019W,RAM2
470,YAR014C,YAR014C,BUD14
471,YDR080W,YDR080W,VPS41
472,YLR142W,YLR142W,PUT1
473,YLL007C,YLL007C,LMO1
474,YGR274C,YGR274C,TAF1
475,YOR018W,YOR018W,ROD1
476,YJR052W,YJR052W,RAD7
477,YGL245W,YGL245W,GUS1
478,YNL240C,YNL240C,NAR1
479,YNR033W,YNR033W,ABZ1
480,YLR258W,YLR258W,GSY2
481,YDR171W,YDR171W,HSP42
482,YPR008W,YPR008W,HAA1
483,YMR015C,YMR015C,ERG5
484,YOR375C,YOR375C,GDH1
485,YBL098W,YBL098W,BNA4
486,YDR044W,YDR044W,HEM13
487,YGL083W,YGL083W,SCY1
488,YLR440C,YLR440C,SEC39
489,YAL054C,YAL054C,ACS1
490,YML130C,YML130C,ERO1
491,YIL146C,YIL146C,ATG32
492,YJR124C,YJR124C,YJR124C
493,YIR027C,YIR027C,DAL1
494,YDL178W,YDL178W,DLD2
496,YOL091W,YOL091W,SPO21
497,YLR082C,YLR082C,SRL2
498,YMR213W,YMR213W,CEF1
499,YLR116W,YLR116W,MSL5
500,YDR074W,YDR074W,TPS2
501,YLR244C,YLR244C,MAP1
502,YOR190W,YOR190W,SPR1
503,YMR244W,YMR244W,YMR244W
504,YPR133C,YPR133C,SPN1
505,YMR164C,YMR164C,MSS11
506,YHR168W,YHR168W,MTG2
507,YOR359W,YOR359W,VTS1
508,YPL254W,YPL254W,HFI1
509,YNL118C,YNL118C,DCP2
510,YDR505C,YDR505C,PSP1
511,YNL025C,YNL025C,SSN8
512,YJL054W,YJL054W,TIM54
513,YKL113C,YKL113C,RAD27
514,YKR063C,YKR063C,LAS1
515,YLL026W,YLL026W,HSP104
517,YBR215W,YBR215W,HPC2
518,YOR320C,YOR320C,GNT1
519,YML119W,YML119W,YML119W
520,YNL261W,YNL261W,ORC5
521,YNL041C,YNL041C,COG6
522,YGR087C,YGR087C,PDC6
523,YDR088C,YDR088C,SLU7
524,YPR003C,YPR003C,YPR003C
525,YOL018C,YOL018C,TLG2
526,YOR254C,YOR254C,SEC63
527,YOR370C,YOR370C,MRS6
528,YHR017W,YHR017W,YSC83
529,YDR524C,YDR524C,AGE1
530,YDR181C,YDR181C,SAS4
531,YPR135W,YPR135W,CTF4
532,YBR039W,YBR039W,ATP3
533,YPR148C,YPR148C,YPR148C
534,YHR207C,YHR207C,SET5
535,YGR077C,YGR077C,PEX8
536,YFR013W,YFR013W,IOC3
537,YER156C,YER156C,YER156C
538,YDR198C,YDR198C,RKM2
539,YOL020W,YOL020W,TAT2
540,YLR352W,YLR352W,YLR352W
541,YLR173W,YLR173W,YLR173W
542,YDR249C,YDR249C,YDR249C
543,YHR033W,YHR033W,YHR033W
544,YDR299W,YDR299W,BFR2
545,YOR237W,YOR237W,HES1
546,YMR276W,YMR276W,DSK2
547,YMR061W,YMR061W,RNA14
548,YHL002W,YHL002W,HSE1
549,YJL056C,YJL056C,ZAP1
550,YDR380W,YDR380W,ARO10
552,YPL104W,YPL104W,MSD1
554,YKL204W,YKL204W,EAP1
555,YKR010C,YKR010C,TOF2
556,YIL142W,YIL142W,CCT2
557,YBR179C,YBR179C,FZO1
558,YPL269W,YPL269W,KAR9
559,YOR132W,YOR132W,VPS17
560,YMR303C,YMR303C,ADH2
561,YPL017C,YPL017C,IRC15
562,YOR271C,YOR271C,FSF1
563,YLR027C,YLR027C,AAT2
564,YHR101C,YHR101C,BIG1
565,YBL045C,YBL045C,COR1
566,YHR109W,YHR109W,CTM1
567,YDL126C,YDL126C,CDC48
568,YOR351C,YOR351C,MEK1
569,YML032C,YML032C,RAD52
570,YKL146W,YKL146W,AVT3
571,YBR053C,YBR053C,YBR053C
572,YLR097C,YLR097C,HRT3
573,YDR421W,YDR421W,ARO80
574,YPR163C,YPR163C,TIF3
576,YLR183C,YLR183C,TOS4
577,YDL057W,YDL057W,YDL057W
578,YML050W,YML050W,AIM32
