ID,ORF_MA,ORF,GENE
792,YOR281C,YOR281C,PLP2
793,YJL026W,YJL026W,RNR2
795,YLR357W,YLR357W,RSC2
796,YOR042W,YOR042W,CUE5
797,YNL227C,YNL227C,JJJ1
798,YKL052C,YKL052C,ASK1
799,YPR078C,YPR078C,YPR078C
800,YJL066C,YJL066C,MPM1
801,YHR174W,YHR174W,ENO2
802,YJR028W,YJR028W,YJR028W
803,YDL243C,YDL243C,AAD4
804,YML063W,YML063W,RPS1b
805,YHL033C,YHL033C,RPL8a
806,YPR202W,YPR202W,YPR202W
807,YBR031W,YBR031W,RPL4a
808,YMR051C,YMR051C,YMR051C
809,YOL051W,YOL051W,GAL11
810,YPL275W,YPL275W,FDH2
811,YIL018W,YIL018W,RPL2b
812,YLR462W,YLR462W,YLR462W
813,YNR073C,YNR073C,MAN2
815,YNL333W,YNL333W,SNZ2
816,YAR033W,YAR033W,MST28
817,YMR322C,YMR322C,SNO4
818,YFL060C,YFL060C,SNO3
819,YJL225C,YJL225C,YJL225C
820,YBL101W-A,YBL101W-A,YBL101W-A
821,YNL019C,YNL019C,YNL019C
822,YNL228W,YNL228W,YNL228W
823,YLR464W,YLR464W,YLR464W
824,YOL046C,YOL046C,YOL046C
825,YOR366W,YOR366W,YOR366W
826,YDL041W,YDL041W,YDL041W
827,YPL249C-A,YPL249C-A,RPL36b
828,YJL032W,YJL032W,YJL032W
829,YJL119C,YJL119C,YJL119C
830,YMR326C,YMR326C,YMR326C
831,YOR053W,YOR053W,YOR053W
832,YDR112W,YDR112W,YDR112W
833,YOR135C,YOR135C,YOR135C
834,YNL030W,YNL030W,HHF2
835,YBR174C,YBR174C,YBR174C
836,YLR444C,YLR444C,YLR444C
837,YBL112C,YBL112C,YBL112C
838,YAR060C,YAR060C,YAR060C
839,YBR206W,YBR206W,YBR206W
840,YKL111C,YKL111C,YKL111C
841,YDL011C,YDL011C,YDL011C
842,YDR203W,YDR203W,YDR203W
843,YJL202C,YJL202C,YJL202C
844,YLR232W,YLR232W,YLR232W
845,YIL171W,YIL171W,YIL171W
846,YCR041W,YCR041W,YCR041W
847,YDR269C,YDR269C,YDR269C
848,YMR321C,YMR321C,YMR321C
882,YGL197W,YGL197W,MDS3
883,YKL010C,YKL010C,UFD4
884,YMR207C,YMR207C,HFA1
885,YFL007W,YFL007W,BLM10
886,YDR464W,YDR464W,SPP41
887,YHR164C,YHR164C,DNA2
888,YNL106C,YNL106C,INP52
889,YDR293C,YDR293C,SSD1
890,YJL092W,YJL092W,SRS2
891,YPL137C,YPL137C,GIP3
892,YJR109C,YJR109C,CPA2
893,YDR097C,YDR097C,MSH6
894,YMR129W,YMR129W,POM152
895,YOL138C,YOL138C,RTC1
896,YDL215C,YDL215C,GDH2
897,YJR140C,YJR140C,HIR3
898,YKR102W,YKR102W,FLO10
899,YNL262W,YNL262W,POL2
900,YNL339C,YNL339C,YRF1-6
901,YKR103W,YKR103W,NFT1
902,YBL017C,YBL017C,PEP1
903,YIL126W,YIL126W,STH1
904,YLL015W,YLL015W,BPT1
905,YDL058W,YDL058W,USO1
906,YOL070C,YOL070C,NBA1
907,YKR089C,YKR089C,TGL4
909,YNL220W,YNL220W,ADE12
910,YPR175W,YPR175W,DPB2
911,YER022W,YER022W,SRB4
912,YKR027W,YKR027W,BCH2
913,YMR258C,YMR258C,ROY1
914,YHR047C,YHR047C,AAP1
915,YER043C,YER043C,SAH1
916,YDL088C,YDL088C,ASM4
917,YHR076W,YHR076W,PTC7
918,YDR004W,YDR004W,RAD57
919,YGL122C,YGL122C,NAB2
920,YLR314C,YLR314C,CDC3
921,YKR023W,YKR023W,YKR023W
922,YLR405W,YLR405W,DUS4
923,YOL006C,YOL006C,TOP1
924,YDR479C,YDR479C,PEX29
925,YCL039W,YCL039W,GID7
926,YNL008C,YNL008C,ASI3
927,YPL139C,YPL139C,UME1
928,YPR083W,YPR083W,MDM36
931,YGR286C,YGR286C,BIO2
932,YDR138W,YDR138W,HPR1
933,YNL293W,YNL293W,MSB3
934,YKR001C,YKR001C,VPS1
935,YHR161C,YHR161C,YAP1801
936,YPL011C,YPL011C,TAF3
937,YKR005C,YKR005C,YKR005C
938,YKR018C,YKR018C,YKR018C
939,YOR262W,YOR262W,GPN2
940,YLR399C,YLR399C,BDF1
941,YKL165C,YKL165C,MCD4
942,YDL027C,YDL027C,MRX9
943,YMR211W,YMR211W,DML1
944,YMR294W,YMR294W,JNM1
945,YDR190C,YDR190C,RVB1
946,YNR029C,YNR029C,YNR029C
947,YKR002W,YKR002W,PAP1
948,YGL093W,YGL093W,SPC105
949,YCL061C,YCL061C,MRC1
950,YPL043W,YPL043W,NOP4
951,YGR264C,YGR264C,MES1
952,YOR117W,YOR117W,RPT5
953,YML083C,YML083C,YML083C
955,YAL021C,YAL021C,CCR4
956,YFR023W,YFR023W,PES4
957,YDR035W,YDR035W,ARO3
958,YPR006C,YPR006C,ICL2
959,YDR165W,YDR165W,TRM82
960,YKL197C,YKL197C,PEX1
963,YDR347W,YDR347W,MRP1
964,YDL183C,YDL183C,YDL183C
965,YDR414C,YDR414C,ERD1
966,YBR125C,YBR125C,PTC4
967,YGL249W,YGL249W,ZIP2
968,YKR070W,YKR070W,YKR070W
969,YGL039W,YGL039W,YGL039W
970,YER152C,YER152C,YER152C
971,YGR245C,YGR245C,SDA1
972,YGL040C,YGL040C,HEM2
973,YHL019C,YHL019C,APM2
974,YLR438W,YLR438W,CAR2
975,YGL138C,YGL138C,YGL138C
976,YHR070W,YHR070W,TRM5
977,YJL052W,YJL052W,TDH1
978,YDL100C,YDL100C,GET3
979,YLR006C,YLR006C,SSK1
980,YFR015C,YFR015C,GSY1
981,YHR005C,YHR005C,GPA1
982,YCR098C,YCR098C,GIT1
983,YBL005W,YBL005W,PDR3
984,YDR345C,YDR345C,HXT3
985,YLR253W,YLR253W,MCP2
986,YGR028W,YGR028W,MSP1
987,YIL067C,YIL067C,YIL067C
988,YDR364C,YDR364C,CDC40
989,YBR104W,YBR104W,YMC2
991,YNL309W,YNL309W,STB1
992,YHR075C,YHR075C,PPE1
993,YJL165C,YJL165C,HAL5
994,YDR484W,YDR484W,VPS52
995,YCR088W,YCR088W,ABP1
996,YER149C,YER149C,PEA2
997,YOL144W,YOL144W,NOP8
998,YML051W,YML051W,GAL80
999,YNL325C,YNL325C,FIG4
1000,YFR029W,YFR029W,PTR3
1001,YEL007W,YEL007W,MIT1
1002,YJL048C,YJL048C,UBX6
1004,YMR275C,YMR275C,BUL1
1005,YJL053W,YJL053W,PEP8
1006,YDL144C,YDL144C,YDL144C
1007,YMR006C,YMR006C,PLB2
1008,YLR072W,YLR072W,LAM6
1009,YFL040W,YFL040W,YFL040W
1010,YPL004C,YPL004C,LSP1
1012,YDR362C,YDR362C,TFC6
1013,YNL104C,YNL104C,LEU4
1014,YLR368W,YLR368W,MDM30
1015,YHR082C,YHR082C,KSP1
1016,YPL106C,YPL106C,SSE1
1017,YKR064W,YKR064W,OAF3
1018,YDR448W,YDR448W,ADA2
1019,YNL234W,YNL234W,YNL234W
1020,YNL051W,YNL051W,COG5
1021,YJL029C,YJL029C,VPS53
1022,YPL259C,YPL259C,APM1
1023,YLL063C,YLL063C,AYT1
1024,YHR149C,YHR149C,SKG6
1025,YNL327W,YNL327W,EGT2
1026,YKL042W,YKL042W,SPC42
1027,YGR047C,YGR047C,TFC4
1028,YOR175C,YOR175C,ALE1
1029,YGL252C,YGL252C,RTG2
1030,YOR266W,YOR266W,PNT1
1031,YJL062W,YJL062W,LAS21
1032,YLR026C,YLR026C,SED5
1033,YHR120W,YHR120W,MSH1
1034,YAL023C,YAL023C,PMT2
1035,YIL035C,YIL035C,CKA1
1036,YPL109C,YPL109C,YPL109C
1037,YLR401C,YLR401C,DUS3
1038,YMR083W,YMR083W,ADH3
1039,YHR184W,YHR184W,SSP1
1040,YAR019C,YAR019C,CDC15
1041,YJL061W,YJL061W,NUP82
1042,YAL012W,YAL012W,CYS3
1043,YOR033C,YOR033C,EXO1
1044,YNL073W,YNL073W,MSK1
1047,YKL176C,YKL176C,LST4
1048,YBL074C,YBL074C,AAR2
1049,YOR181W,YOR181W,LAS17
1050,YJR064W,YJR064W,CCT5
1051,YBR018C,YBR018C,GAL7
1052,YJL167W,YJL167W,ERG20
1053,YAL038W,YAL038W,CDC19
1054,YHL039W,YHL039W,EFM1
1055,YNR012W,YNR012W,URK1
1056,YKL077W,YKL077W,YKL077W
1057,YDL093W,YDL093W,PMT5
1059,YBR247C,YBR247C,ENP1
1060,YIL014W,YIL014W,MNT3
1061,YNR048W,YNR048W,YNR048W
1062,YKL211C,YKL211C,TRP3
1063,YDR520C,YDR520C,URC2
1064,YLR266C,YLR266C,PDR8
1065,YDL001W,YDL001W,RMD1
1066,YJL111W,YJL111W,CCT7
1067,YOR353C,YOR353C,SOG2
1068,YKR101W,YKR101W,SIR1
1069,YGL119W,YGL119W,COQ8
1070,YNL249C,YNL249C,MPA43
1071,YDR006C,YDR006C,SOK1
1072,YJR051W,YJR051W,OSM1
1073,YBL014C,YBL014C,RRN6
1074,YKR008W,YKR008W,RSC4
1075,YNL164C,YNL164C,IBD2
1076,YFR030W,YFR030W,MET10
1078,YDL024C,YDL024C,DIA3
1079,YIL045W,YIL045W,PIG2
1080,YLL051C,YLL051C,FRE6
1081,YNL199C,YNL199C,GCR2
1082,YGL077C,YGL077C,HNM1
1083,YML096W,YML096W,YML096W
1084,YDL060W,YDL060W,TSR1
1085,YJR043C,YJR043C,POL32
1086,YLR137W,YLR137W,RKM5
1087,YOR142W,YOR142W,LSC1
1088,YIL006W,YIL006W,YIA6
1089,YMR289W,YMR289W,ABZ2
1090,YDR069C,YDR069C,DOA4
1091,YLR028C,YLR028C,ADE16
1092,YLR151C,YLR151C,PCD1
1093,YOR274W,YOR274W,MOD5
1095,YNR019W,YNR019W,ARE2
1096,YDR267C,YDR267C,CIA1
1097,YMR241W,YMR241W,YHM2
1098,YER068W,YER068W,MOT2
1099,YLR246W,YLR246W,ERF2
1101,YCR057C,YCR057C,PWP2
1102,YIL066C,YIL066C,RNR3
1103,YLR380W,YLR380W,CSR1
1104,YGL115W,YGL115W,SNF4
1105,YLR309C,YLR309C,IMH1
1106,YOL083W,YOL083W,ATG34
1107,YDL105W,YDL105W,NSE4
1108,YIR021W,YIR021W,MRS1
1109,YML002W,YML002W,YML002W
1110,YGR199W,YGR199W,PMT6
1111,YLR455W,YLR455W,PDP3
1112,YOR075W,YOR075W,UFE1
1113,YDR120C,YDR120C,TRM1
1115,YMR066W,YMR066W,SOV1
1116,YHR091C,YHR091C,MSR1
1117,YML070W,YML070W,DAK1
1119,YDR349C,YDR349C,YPS7
1120,YJL098W,YJL098W,SAP185
1121,YMR124W,YMR124W,EPO1
1123,YJR155W,YJR155W,AAD10
1124,YPL076W,YPL076W,GPI2
1125,YDR319C,YDR319C,YFT2
1126,YJR011C,YJR011C,YJR011C
1127,YNL286W,YNL286W,CUS2
1128,YLR205C,YLR205C,HMX1
1129,YOR157C,YOR157C,PUP1
1130,YHR043C,YHR043C,DOG2
1131,YNL050C,YNL050C,YNL050C
1132,YDR050C,YDR050C,TPI1
1133,YFL045C,YFL045C,SEC53
1134,YDR313C,YDR313C,PIB1
1135,YOR174W,YOR174W,MED4
1136,YLR165C,YLR165C,PUS5
1137,YPL024W,YPL024W,RMI1
1138,YOR280C,YOR280C,FSH3
1139,YGR248W,YGR248W,SOL4
1140,YDR130C,YDR130C,FIN1
1141,YGR161C,YGR161C,RTS3
1142,YLR351C,YLR351C,NIT3
1143,YDL142C,YDL142C,CRD1
1144,YDR087C,YDR087C,RRP1
1145,YIR036C,YIR036C,IRC24
1146,YMR132C,YMR132C,JLP2
1147,YPL065W,YPL065W,VPS28
1148,YDR236C,YDR236C,FMN1
1149,YNL208W,YNL208W,YNL208W
1150,YPL002C,YPL002C,SNF8
1151,YMR161W,YMR161W,HLJ1
1152,YMR314W,YMR314W,PRE5
1153,YDR533C,YDR533C,HSP31
1154,YGR235C,YGR235C,MIC26
1155,YMR063W,YMR063W,RIM9
1156,YLR456W,YLR456W,YLR456W
1157,YLR179C,YLR179C,YLR179C
1158,YNR017W,YNR017W,TIM23
1159,YOR077W,YOR077W,RTS2
1160,YIL152W,YIL152W,YIL152W
1162,YJL192C,YJL192C,SOP4
1163,YPL130W,YPL130W,SPO19
1164,YOR111W,YOR111W,YOR111W
1165,YMR095C,YMR095C,SNO1
1166,YPL166W,YPL166W,ATG29
1167,YLR051C,YLR051C,FCF2
1168,YMR264W,YMR264W,CUE1
1169,YMR311C,YMR311C,GLC8
1170,YDR136C,YDR136C,VPS61
1171,YIL009C-A,YIL009C-A,EST3
1172,YBR164C,YBR164C,ARL1
1173,YJR115W,YJR115W,YJR115W
1174,YPL148C,YPL148C,PPT2
1175,YDR469W,YDR469W,SDC1
1176,YCR086W,YCR086W,CSM1
1177,YBR254C,YBR254C,TRS20
1178,YCR101C,YCR101C,YCR101C
1179,YCL001W,YCL001W,RER1
1180,YKR007W,YKR007W,MEH1
1181,YBR173C,YBR173C,UMP1
1182,YHR175W,YHR175W,CTR2
1183,YLR254C,YLR254C,NDL1
1184,YNL245C,YNL245C,CWC25
1185,YER007C-A,YER007C-A,TMA20
1186,YDR185C,YDR185C,UPS3
1187,YKL070W,YKL070W,YKL070W
1188,YPL025C,YPL025C,YPL025C
1189,YGR049W,YGR049W,SCM4
1190,YBL090W,YBL090W,MRP21
1191,YAL055W,YAL055W,PEX22
1192,YLR050C,YLR050C,YLR050C
1193,YJR097W,YJR097W,JJJ3
1194,YEL003W,YEL003W,GIM4
1195,YML101C,YML101C,CUE4
1196,YEL026W,YEL026W,SNU13
1197,YHR191C,YHR191C,CTF8
1198,YKL138C,YKL138C,MRPL31
1199,YNL135C,YNL135C,FPR1
1200,YDR511W,YDR511W,SDH7
1201,YPL192C,YPL192C,PRM3
1202,YIL032C,YIL032C,YIL032C
1203,YDL071C,YDL071C,YDL071C
1204,YER135C,YER135C,YER135C
1205,YJL215C,YJL215C,YJL215C
1206,YKR083C,YKR083C,DAD2
1207,YDR286C,YDR286C,YDR286C
1208,YMR195W,YMR195W,ICY1
1209,YOR189W,YOR189W,IES4
1210,YJL179W,YJL179W,PFD1
1211,YBR292C,YBR292C,YBR292C
1212,YER009W,YER009W,NTF2
1213,YDR274C,YDR274C,YDR274C
1214,YNL269W,YNL269W,BSC4
1215,YGL191W,YGL191W,COX13
1216,YNL153C,YNL153C,GIM3
1217,YEL008W,YEL008W,YEL008W
1218,YOR009W,YOR009W,TIR4
1219,YCL024W,YCL024W,KCC4
1220,YMR075W,YMR075W,RCO1
1221,YDR227W,YDR227W,SIR4
1222,YGR134W,YGR134W,CAF130
1223,YNL318C,YNL318C,HXT14
1224,YBL052C,YBL052C,SAS3
1225,YJL005W,YJL005W,CYR1
1226,YIL082W-A,YIL082W-A,YIL082W-A
1227,YBR220C,YBR220C,YBR220C
1228,YKL075C,YKL075C,YKL075C
1229,YDR432W,YDR432W,NPL3
1230,YAL058W,YAL058W,CNE1
1231,YNL283C,YNL283C,WSC2
1232,YGL167C,YGL167C,PMR1
1233,YDR200C,YDR200C,VPS64
1234,YBL061C,YBL061C,SKT5
1235,YOR201C,YOR201C,MRM1
1236,YDR425W,YDR425W,SNX41
1237,YLR234W,YLR234W,TOP3
1239,YDR335W,YDR335W,MSN5
1240,YPR041W,YPR041W,TIF5
1241,YMR316W,YMR316W,DIA1
1243,YKR059W,YKR059W,TIF1
1244,YLR155C,YLR155C,ASP3-1
1245,YBL005W-A,YBL005W-A,YBL005W-A
1246,YDL248W,YDL248W,COS7
1247,YNL332W,YNL332W,THI12
1248,YLL066C,YLL066C,YLL066C
1249,YJR158W,YJR158W,HXT16
1250,YLR158C,YLR158C,ASP3-3
1251,YDR170W-A,YDR170W-A,YDR170W-A
1252,YGR192C,YGR192C,TDH3
1253,YDR312W,YDR312W,SSF2
1254,YML133C,YML133C,YML133C
1255,YML132W,YML132W,COS3
1256,YAR073W,YAR073W,IMD1
1257,YHR215W,YHR215W,PHO12
1258,YFL062W,YFL062W,COS4
1259,YHL050C,YHL050C,YHL050C
1260,YDR385W,YDR385W,EFT2
1261,YJL114W,YJL114W,YJL114W
1262,YJL221C,YJL221C,IMA4
1263,YOL156W,YOL156W,HXT11
1264,YBL111C,YBL111C,YBL111C
1265,YNL034W,YNL034W,YNL034W
1266,YDR193W,YDR193W,YDR193W
1267,YPR059C,YPR059C,YPR059C
1269,YPR099C,YPR099C,YPR099C
1270,YFL020C,YFL020C,PAU5
1271,YBR301W,YBR301W,PAU24
1272,YOL079W,YOL079W,YOL079W
1273,YNL149C,YNL149C,PGA2
1274,YGR176W,YGR176W,YGR176W
1275,YLR406C,YLR406C,RPL31b
1276,YGR228W,YGR228W,YGR228W
1277,YGR294W,YGR294W,PAU12
1278,YJR114W,YJR114W,YJR114W
1279,YOL161C,YOL161C,PAU20
1280,YDL136W,YDL136W,RPL35b
1281,YLR159W,YLR159W,YLR159W
1282,YMR316C-B,YMR316C-B,YMR316C-B
1283,YJL223C,YJL223C,PAU1
1284,YIR040C,YIR040C,YIR040C
1285,YDR360W,YDR360W,YDR360W
1286,YLR458W,YLR458W,YLR458W
1287,YNL184C,YNL184C,YNL184C
1289,YLL064C,YLL064C,PAU18
1323,YIR019C,YIR019C,FLO11
1324,YFR031C,YFR031C,SMC2
1326,YGL150C,YGL150C,INO80
1327,YLR384C,YLR384C,IKI3
1328,YGR116W,YGR116W,SPT6
1329,YOR098C,YOR098C,NUP1
1330,YCR073C,YCR073C,SSK22
1331,YLR272C,YLR272C,YCS4
1332,YBR081C,YBR081C,SPT7
1333,YER110C,YER110C,KAP123
1334,YAR009C,YAR009C,YAR009C
1335,YDR011W,YDR011W,SNQ2
1336,YOR290C,YOR290C,SNF2
1337,YDR127W,YDR127W,ARO1
1338,YHL035C,YHL035C,VMR1
1339,YLR320W,YLR320W,MMS22
1340,YJR039W,YJR039W,YJR039W
1341,YDR159W,YDR159W,SAC3
1342,YGL092W,YGL092W,NUP145
1343,YPL082C,YPL082C,MOT1
1344,YPR095C,YPR095C,SYT1
1345,YPR189W,YPR189W,SKI3
1346,YML049C,YML049C,RSE1
1347,YOL158C,YOL158C,ENB1
1348,YBR229C,YBR229C,ROT2
1350,YGL022W,YGL022W,STT3
1351,YIL112W,YIL112W,HOS4
1352,YPL169C,YPL169C,MEX67
1353,YPR181C,YPR181C,SEC23
1354,YLR231C,YLR231C,BNA5
1355,YMR085W,YMR085W,YMR085W
1356,YKL085W,YKL085W,MDH1
1357,YLL002W,YLL002W,RTT109
1358,YLR336C,YLR336C,SGD1
1359,YDL005C,YDL005C,MED2
1360,YOR229W,YOR229W,WTM2
1361,YJL101C,YJL101C,GSH1
1362,YLR207W,YLR207W,HRD3
1363,YNR056C,YNR056C,BIO5
1364,YLR347C,YLR347C,KAP95
1365,YBR087W,YBR087W,RFC5
1366,YCR005C,YCR005C,CIT2
1367,YDL113C,YDL113C,ATG20
1368,YDR351W,YDR351W,SBE2
1369,YPR194C,YPR194C,OPT2
1370,YGL025C,YGL025C,PGD1
1371,YBR236C,YBR236C,ABD1
1372,YDR169C,YDR169C,STB3
1374,YFL001W,YFL001W,DEG1
1375,YOR264W,YOR264W,DSE3
1376,YLR270W,YLR270W,DCS1
1377,YCR106W,YCR106W,RDS1
1379,YBR046C,YBR046C,ZTA1
1380,YIL074C,YIL074C,SER33
1381,YDL161W,YDL161W,ENT1
1382,YMR014W,YMR014W,BUD22
1383,YER087W,YER087W,AIM10
1384,YEL037C,YEL037C,RAD23
1385,YDR223W,YDR223W,CRF1
1386,YML027W,YML027W,YOX1
1387,YGL128C,YGL128C,CWC23
1388,YPR021C,YPR021C,AGC1
1389,YLR373C,YLR373C,VID22
1390,YGL139W,YGL139W,FLC3
1391,YIL122W,YIL122W,POG1
1392,YOL041C,YOL041C,NOP12
1393,YML057W,YML057W,CMP2
1394,YBR184W,YBR184W,YBR184W
1396,YDL036C,YDL036C,PUS9
1397,YDL148C,YDL148C,NOP14
1398,YJL157C,YJL157C,FAR1
1399,YIL076W,YIL076W,SEC28
1400,YGL141W,YGL141W,HUL5
1401,YDR111C,YDR111C,ALT2
1402,YEL032W,YEL032W,MCM3
1403,YDR033W,YDR033W,MRH1
1404,YKL104C,YKL104C,GFA1
1405,YJR149W,YJR149W,YJR149W
1407,YIR039C,YIR039C,YPS6
1408,YGR196C,YGR196C,FYV8
1409,YDR310C,YDR310C,SUM1
1410,YMR302C,YMR302C,YME2
1411,YLR166C,YLR166C,SEC10
1412,YMR094W,YMR094W,CTF13
1413,YKL080W,YKL080W,VMA5
1414,YIL155C,YIL155C,GUT2
1415,YER020W,YER020W,GPA2
1416,YPL176C,YPL176C,TRE1
1417,YNR062C,YNR062C,YNR062C
1418,YBL030C,YBL030C,PET9
1419,YLR378C,YLR378C,SEC61
1420,YJL209W,YJL209W,CBP1
1421,YDR316W,YDR316W,OMS1
1422,YFR021W,YFR021W,ATG18
1423,YPR002W,YPR002W,PDH1
1425,YNL186W,YNL186W,UBP10
1426,YLL006W,YLL006W,MMM1
1427,YGL145W,YGL145W,TIP20
1428,YGR234W,YGR234W,YHB1
1429,YPR140W,YPR140W,TAZ1
1431,YOL130W,YOL130W,ALR1
1432,YML017W,YML017W,PSP2
1433,YGL256W,YGL256W,ADH4
1434,YHR202W,YHR202W,YHR202W
1435,YCL040W,YCL040W,GLK1
1436,YPL270W,YPL270W,MDL2
1437,YBL039C,YBL039C,URA7
1438,YNL078W,YNL078W,NIS1
1439,YJR016C,YJR016C,ILV3
1440,YJL163C,YJL163C,YJL163C
1441,YDL103C,YDL103C,QRI1
1442,YBR060C,YBR060C,ORC2
1443,YHR019C,YHR019C,DED81
1444,YER127W,YER127W,LCP5
1445,YDR346C,YDR346C,SVF1
1446,YMR261C,YMR261C,TPS3
1447,YER045C,YER045C,ACA1
1448,YOL019W,YOL019W,YOL019W
1449,YJL154C,YJL154C,VPS35
1450,YGR140W,YGR140W,CBF2
1451,YDR516C,YDR516C,EMI2
1453,YGL078C,YGL078C,DBP3
1454,YOL155C,YOL155C,HPF1
1455,YMR020W,YMR020W,FMS1
1456,YIL166C,YIL166C,YIL166C
1457,YGL017W,YGL017W,ATE1
1458,YOL064C,YOL064C,MET22
1460,YPL222W,YPL222W,FMP40
1461,YMR105C,YMR105C,PGM2
1462,YJR143C,YJR143C,PMT4
1463,YGR193C,YGR193C,PDX1
1464,YPR081C,YPR081C,GRS2
1465,YGR015C,YGR015C,YGR015C
1466,YBR250W,YBR250W,SPO23
1467,YGR100W,YGR100W,MDR1
1468,YAL051W,YAL051W,OAF1
1469,YLR397C,YLR397C,AFG2
1470,YDR034C,YDR034C,LYS14
1471,YML005W,YML005W,TRM12
1472,YDR430C,YDR430C,CYM1
1473,YHR210C,YHR210C,YHR210C
1474,YCL011C,YCL011C,GBP2
1475,YMR253C,YMR253C,YMR253C
1476,YDR536W,YDR536W,STL1
1477,YMR048W,YMR048W,CSM3
1478,YFR037C,YFR037C,RSC8
1479,YJL014W,YJL014W,CCT3
1480,YDL035C,YDL035C,GPR1
1481,YOR162C,YOR162C,YRR1
1482,YER098W,YER098W,UBP9
1483,YMR189W,YMR189W,GCV2
1484,YGR023W,YGR023W,MTL1
1485,YKR024C,YKR024C,DBP7
1486,YDR107C,YDR107C,TMN2
1487,YPR090W,YPR090W,YPR090W
1488,YGL004C,YGL004C,RPN14
1489,YNL323W,YNL323W,LEM3
1490,YGR048W,YGR048W,UFD1
1491,YGL206C,YGL206C,CHC1
1492,YMR054W,YMR054W,STV1
1493,YCR072C,YCR072C,RSA4
1494,YMR228W,YMR228W,MTF1
1495,YDR264C,YDR264C,AKR1
1496,YMR139W,YMR139W,RIM11
1497,YGL263W,YGL263W,COS12
1498,YNL023C,YNL023C,FAP1
1499,YDL203C,YDL203C,ACK1
1500,YOL072W,YOL072W,THP1
1501,YER040W,YER040W,GLN3
1502,YNL201C,YNL201C,PSY2
1503,YGR168C,YGR168C,YGR168C
1504,YNL251C,YNL251C,NRD1
1505,YGR125W,YGR125W,YGR125W
1506,YOR046C,YOR046C,DBP5
1507,YFR002W,YFR002W,NIC96
1508,YNR063W,YNR063W,YNR063W
1509,YHR036W,YHR036W,BRL1
1510,YNL321W,YNL321W,VNX1
1511,YHR106W,YHR106W,TRR2
1512,YOR381W,YOR381W,FRE3
1513,YIL043C,YIL043C,CBR1
1514,YPL087W,YPL087W,YDC1
1516,YER103W,YER103W,SSA4
1517,YMR137C,YMR137C,PSO2
1518,YBR020W,YBR020W,GAL1
1519,YKL121W,YKL121W,DGR2
1520,YDR309C,YDR309C,GIC2
1521,YBL032W,YBL032W,HEK2
1522,YHR014W,YHR014W,SPO13
1523,YMR266W,YMR266W,RSN1
1524,YDL066W,YDL066W,IDP1
1525,YMR043W,YMR043W,MCM1
1526,YGR060W,YGR060W,ERG25
1527,YBR161W,YBR161W,CSH1
1528,YIR025W,YIR025W,MND2
1529,YNL219C,YNL219C,ALG9
1530,YDR488C,YDR488C,PAC11
1531,YOR025W,YOR025W,HST3
1532,YGR128C,YGR128C,UTP8
1534,YKL057C,YKL057C,NUP120
1535,YOR256C,YOR256C,TRE2
1536,YER141W,YER141W,COX15
1537,YPL029W,YPL029W,SUV3
1538,YJR080C,YJR080C,AIM24
1539,YOR137C,YOR137C,SIA1
1540,YOR180C,YOR180C,DCI1
1541,YBR129C,YBR129C,OPY1
1542,YAR015W,YAR015W,ADE1
1543,YCR073W-A,YCR073W-A,SOL2
1544,YOR079C,YOR079C,ATX2
1545,YOR216C,YOR216C,RUD3
1546,YLR284C,YLR284C,ECI1
1547,YOR143C,YOR143C,THI80
1548,YJR013W,YJR013W,GPI14
1549,YNL075W,YNL075W,IMP4
1550,YCR016W,YCR016W,YCR016W
1551,YOR347C,YOR347C,PYK2
1552,YBR151W,YBR151W,APD1
1554,YOR164C,YOR164C,GET4
1555,YKR080W,YKR080W,MTD1
1556,YIL053W,YIL053W,GPP1
1557,YPL103C,YPL103C,FMP30
1558,YLR128W,YLR128W,DCN1
1559,YBL050W,YBL050W,SEC17
1560,YBR265W,YBR265W,TSC10
1561,YDL218W,YDL218W,YDL218W
1562,YDR184C,YDR184C,ATC1
1563,YNR002C,YNR002C,ATO2
1564,YEL021W,YEL021W,URA3
1565,YER116C,YER116C,SLX8
1566,YGL123W,YGL123W,RPS2
1567,YBR261C,YBR261C,TAE1
1569,YOL088C,YOL088C,MPD2
1570,YGL085W,YGL085W,LCL3
1571,YOR062C,YOR062C,YOR062C
1572,YLL060C,YLL060C,GTT2
1573,YKL208W,YKL208W,CBT1
1574,YLR059C,YLR059C,REX2
1575,YDR428C,YDR428C,BNA7
1576,YDR152W,YDR152W,GIR2
1577,YER180C,YER180C,ISC10
1578,YDR318W,YDR318W,MCM21
1579,YCL047C,YCL047C,POF1
1580,YPL159C,YPL159C,PET20
1581,YGL061C,YGL061C,DUO1
1582,YGL096W,YGL096W,TOS8
1583,YLR412W,YLR412W,BER1
1584,YPR134W,YPR134W,MSS18
1585,YKL154W,YKL154W,SRP102
1586,YER139C,YER139C,RTR1
1587,YMR150C,YMR150C,IMP1
1588,YIL007C,YIL007C,NAS2
1589,YIL089W,YIL089W,YIL089W
1590,YPL233W,YPL233W,NSL1
1591,YDR002W,YDR002W,YRB1
1592,YDR339C,YDR339C,FCF1
1593,YDR067C,YDR067C,OCA6
1594,YBR072W,YBR072W,HSP26
1595,YPL121C,YPL121C,MEI5
1596,YJR123W,YJR123W,RPS5
1598,YFL056C,YFL056C,AAD6
1599,YLL033W,YLL033W,IRC19
1600,YDL002C,YDL002C,NHP10
1602,YAR002C-A,YAR002C-A,ERP1
