Dig2p
Ime4p
Rpn10p
Stp3p
Kre33p
Gis2p
Thi3p
Flo11p
Asf1p
Snf7p
Elp6p
Ume1p
Mdl2p
Rds3p
Mal63p
Cyc8p
Rtg2p
Ure2p
Esa1p
Imp2'p
Lys14p
Hpc2p
Rgt2p
Ndd1p
Sua7p
Pdc2p
Stb3p
Mds3p
Rts2p
Srb5p
Hat1p
Srd1p
Stb4p
YNR063W
Hpa2p
YKL222C
Pdr8p
Tho2p
Mal13p
Sip3p
Ngg1p
Rif2p
Hot1p
Tod6p
Gal3p
YFL052W
Gal80p
Ssn3p
Nsi1p
War1p
Stb6p
Rsc30p
Pog1p
Rpd3p
Tbs1p
Jhd1p
Snt2p
Dot5p
Hms2p
Smk1p
Oaf3p
Ask10p
YPR022C
Ime1p
Mot2p
Pho23p
Bye1p
Sas4p
Usv1p
YPR015C
Eds1p
Hst4p
Sfl1p
Ada2p
Arg82p
Cat8p
Hst3p
YJL206C
Dot6p
YER130C
YPR196W
Stp4p
Gsm1p
Wtm2p
Kss1p
Rpi1p
Sut2p
Snf11p
Pop2p
Stb2p
YGR067C
Wtm1p
Vms1p
Plm2p
Caf4p
Ppr1p
Azf1p
Mbf1p
Dal80p
Ert1p
Tos4p
Hel2p
YER184C
Fzf1p
Gat1p
Hog1p
Gat4p
Tda9p
Dat1p
Cha4p
Met18p
Hst1p
Met28p
Rdr1p
Sip4p
Msi1p
Not3p
Sps18p
Sef1p
Asg1p
Rds1p
Snf1p
Nut1p
Rtg1p
Hal9p
Gzf3p
Smp1p
Msn1p
Aca1p
Hap3p
Urc2p
Nnf2p
Hir2p
Upc2p
Hir1p
Mig2p
Cdc14p
Sir1p
Ssn2p
Uga3p
Otu1p
Tis11p
Sas5p
Hap1p
Set2p
Yap3p
Nrg2p
Mth1p
Dig1p
Arg81p
Gis1p
Spt2p
Rif1p
Tos8p
Stb1p
Dal81p
Hir3p
Pib2p
Opi1p
Met31p
Zds1p
Arg80p
Rgm1p
Bdf2p
Hda1p
Sut1p
Rme1p
Ino2p
Hcm1p
Rsf2p
YLR278C
Isw1p
Aro80p
Sif2p
Gat3p
Hap5p
Mig1p
Pgd1p
Hac1p
Rtf1p
Rph1p
Rco1p
Mac1p
Crz1p
Aft2p
Hat2p
Rgt1p
Ifh1p
Gts1p
Met32p
Tbf1p
Rtt107p
Ecm22p
Leu3p
Ndt80p
Rds2p
Srb8p
Cup2p
Stp2p
Mot3p
Met4p
Mss11p
Sum1p
Flo8p
Sds3p
Mal33p
Ric1p
Haa1p
Stp1p
Esc2p
Put3p
Rtg3p
Rim101p
Yap7p
Cac2p
Rsc1p
Mbp1p
Fkh2p
Swi6p
Rfx1p
Mga1p
Uls1p
Yrr1p
Rlm1p
Xbp1p
Nrg1p
Rsc2p
Phd1p
Cse2p
Cad1p
Cdc73p
Fkh1p
Thi2p
Srb2p
Dal82p
Adr1p
Ino4p
Hap4p
Gal11p
Rlf2p
Kar4p
Sir3p
Ume6p
Rox1p
Yap5p
Oaf1p
Taf14p
Skn7p
Sko1p
Yap6p
Pdr3p
Hms1p
Hmo1p
Gln3p
Reb1p
Swi4p
Pho2p
Cup9p
Mga2p
Stb5p
Sas3p
Isw2p
Gal4p
Spt3p
Tye7p
Fhl1p
Yhp1p
Gcr2p
Pip2p
Aft1p
Snf5p
Pdr1p
Pho4p
Yox1p
Spt4p
Hfi1p
Sir2p
Zap1p
Cbf1p
Arr1p
Hap2p
Gcr1p
Mcm1p
Mig3p
Hsf1p
Ixr1p
Rpn4p
Sin3p
Spt10p
Swi3p
Spt23p
Spt20p
Swi5p
Snf2p
Cin5p
Sin4p
Sok2p
Yap1p
Msn4p
Yrm1p
Snf6p
Tup1p
Cst6p
Bas1p
Gcn4p
Abf1p
Rap1p
Ash1p
Msn2p
Tec1p
Ste12p
Sfp1p
Ace2p
