ID,TF_NAME,SNP_COUNT
1663,Hsf1p,0
3190,Ixr1p,0
1827,Rpn4p,0
3866,Sin3p,0
4861,Spt23p,0
5781,Spt20p,0
1336,Snf2p,0
2849,Cin5p,0
4758,Sin4p,0
205,Sok2p,0
1882,Yap1p,0
137,Msn4p,0
5862,Yrm1p,0
1835,Snf6p,0
68,Tup1p,0
6642,Cst6p,0
5938,Bas1p,0
6390,Gcn4p,0
5202,Abf1p,0
5051,Rap1p,0
3643,Ash1p,0
5496,Msn2p,0
103,Ste12p,0
2316,Sfp1p,0
5332,Ace2p,0
